time,bid,ask,last,volume,time_msc,flags,volume_real
1788343306,4308.469,4308.519,0.0,0,1788343306912,6,0.0
1788343307,4308.471,4308.511,0.0,0,1788343307960,6,0.0
1788343307,4308.593,4308.633,0.0,0,1788343307997,6,0.0
1788343309,4308.342,4308.392,0.0,0,1788343309037,6,0.0
1788343309,4308.234,4308.274,0.0,0,1788343309063,6,0.0
1788343309,4308.182,4308.222,0.0,0,1788343309073,6,0.0
1788343309,4308.106,4308.156,0.0,0,1788343309081,6,0.0
1788343309,4308.052,4308.102,0.0,0,1788343309098,6,0.0
1788343309,4307.999,4308.049,0.0,0,1788343309118,6,0.0
1788343309,4308.219,4308.269,0.0,0,1788343309447,6,0.0
1788343309,4308.055,4308.105,0.0,0,1788343309481,6,0.0
1788343309,4307.905,4307.955,0.0,0,1788343309928,6,0.0
1788343309,4307.972,4308.022,0.0,0,1788343309947,6,0.0
1788343310,4308.298,4308.348,0.0,0,1788343310373,6,0.0
1788343310,4308.379,4308.429,0.0,0,1788343310422,6,0.0
1788343311,4308.398,4308.448,0.0,0,1788343311427,6,0.0
1788343311,4308.297,4308.347,0.0,0,1788343311883,6,0.0
1788343313,4308.152,4308.202,0.0,0,1788343313211,6,0.0
1788343313,4308.032,4308.082,0.0,0,1788343313355,6,0.0
1788343313,4307.977,4308.027,0.0,0,1788343313375,6,0.0
1788343313,4307.923,4307.973,0.0,0,1788343313606,6,0.0
1788343313,4307.871,4307.921,0.0,0,1788343313627,6,0.0
1788343313,4308.082,4308.132,0.0,0,1788343313862,6,0.0
1788343314,4308.027,4308.067,0.0,0,1788343314677,6,0.0
1788343314,4308.079,4308.119,0.0,0,1788343314983,6,0.0
1788343315,4308.138,4308.178,0.0,0,1788343315431,6,0.0
1788343316,4307.831,4307.871,0.0,0,1788343316032,6,0.0
1788343316,4307.967,4308.007,0.0,0,1788343316355,6,0.0
1788343316,4308.27,4308.31,0.0,0,1788343316386,6,0.0
1788343316,4308.158,4308.198,0.0,0,1788343316564,6,0.0
1788343316,4307.851,4307.891,0.0,0,1788343316921,6,0.0
1788343317,4307.924,4307.964,0.0,0,1788343317013,6,0.0
1788343319,4308.179,4308.219,0.0,0,1788343319020,6,0.0
1788343319,4308.306,4308.346,0.0,0,1788343319264,6,0.0
1788343319,4308.186,4308.226,0.0,0,1788343319428,6,0.0
1788343320,4308.058,4308.098,0.0,0,1788343320132,6,0.0
1788343320,4307.926,4307.966,0.0,0,1788343320242,6,0.0
1788343320,4307.844,4307.894,0.0,0,1788343320261,6,0.0
1788343320,4308.006,4308.046,0.0,0,1788343320561,6,0.0
1788343320,4308.138,4308.178,0.0,0,1788343320583,6,0.0
1788343321,4307.893,4307.933,0.0,0,1788343321098,6,0.0
1788343321,4307.821,4307.871,0.0,0,1788343321123,6,0.0
1788343321,4307.894,4307.934,0.0,0,1788343321442,6,0.0
1788343322,4308.125,4308.165,0.0,0,1788343322453,6,0.0
1788343323,4307.946,4307.986,0.0,0,1788343323507,6,0.0
1788343323,4308.197,4308.237,0.0,0,1788343323822,6,0.0
1788343323,4308.022,4308.062,0.0,0,1788343323870,6,0.0
1788343324,4307.907,4307.947,0.0,0,1788343324300,6,0.0
1788343325,4307.895,4307.935,0.0,0,1788343325312,6,0.0
1788343325,4308.094,4308.134,0.0,0,1788343325734,6,0.0
1788343325,4308.034,4308.074,0.0,0,1788343325756,6,0.0
1788343326,4308.017,4308.057,0.0,0,1788343326461,6,0.0
1788343326,4307.936,4307.976,0.0,0,1788343326793,6,0.0
1788343326,4308.015,4308.055,0.0,0,1788343326824,6,0.0
1788343326,4308.069,4308.109,0.0,0,1788343326854,6,0.0
1788343326,4308.0,4308.04,0.0,0,1788343326994,6,0.0
1788343327,4308.052,4308.092,0.0,0,1788343327100,6,0.0
1788343328,4308.083,4308.123,0.0,0,1788343328123,6,0.0
1788343328,4308.127,4308.167,0.0,0,1788343328250,6,0.0
1788343328,4308.179,4308.219,0.0,0,1788343328580,6,0.0
1788343329,4308.099,4308.139,0.0,0,1788343329172,6,0.0
1788343329,4308.021,4308.061,0.0,0,1788343329184,6,0.0
1788343329,4308.04,4308.08,0.0,0,1788343329954,6,0.0
1788343329,4307.979,4308.019,0.0,0,1788343329976,6,0.0
1788343330,4307.889,4307.939,0.0,0,1788343330081,6,0.0
1788343330,4308.012,4308.062,0.0,0,1788343330250,6,0.0
1788343330,4308.095,4308.145,0.0,0,1788343330263,6,0.0
1788343330,4308.15,4308.2,0.0,0,1788343330344,6,0.0
1788343331,4308.095,4308.145,0.0,0,1788343331109,6,0.0
1788343331,4308.042,4308.092,0.0,0,1788343331136,6,0.0
1788343331,4307.924,4307.974,0.0,0,1788343331585,6,0.0
1788343331,4308.121,4308.171,0.0,0,1788343331725,6,0.0
1788343331,4308.283,4308.333,0.0,0,1788343331906,6,0.0
1788343332,4308.08,4308.12,0.0,0,1788343332907,6,0.0
1788343333,4307.99,4308.03,0.0,0,1788343333916,6,0.0
1788343334,4307.963,4308.003,0.0,0,1788343334919,6,0.0
1788343334,4308.157,4308.197,0.0,0,1788343334977,6,0.0
1788343335,4308.226,4308.266,0.0,0,1788343335082,6,0.0
1788343335,4308.161,4308.201,0.0,0,1788343335143,6,0.0
1788343336,4308.154,4308.204,0.0,0,1788343336205,6,0.0
1788343337,4308.067,4308.107,0.0,0,1788343337348,6,0.0
1788343337,4307.928,4307.968,0.0,0,1788343337367,6,0.0
1788343337,4307.771,4307.811,0.0,0,1788343337380,6,0.0
1788343337,4308.078,4308.118,0.0,0,1788343337576,6,0.0
